,1. open,2. high,3. low,4. close,5. volume
2024-10-31,415.36,416.16,406.3,406.35,53970981.0
2024-10-30,437.435,438.5,432.1,432.53,29749149.0
2024-10-29,428.0,433.17,425.8001,431.95,17644080.0
2024-10-28,431.655,431.94,426.3,426.59,14882444.0
2024-10-25,426.76,432.52,426.565,428.15,16899064.0
2024-10-24,425.325,425.9782,422.4,424.73,13581631.0
2024-10-23,430.855,431.08,422.53,424.6,19654379.0
2024-10-22,418.49,430.5793,418.04,427.51,25482197.0
2024-10-21,416.12,418.96,413.7501,418.78,14206115.0
2024-10-18,417.14,419.65,416.2601,418.16,17145317.0
2024-10-17,422.36,422.5,415.59,416.72,14820004.0
2024-10-16,415.17,416.36,410.48,416.12,15508932.0
2024-10-15,422.18,422.48,415.26,418.74,18900201.0
2024-10-14,417.77,424.04,417.52,419.14,16653086.0
2024-10-11,416.135,417.13,413.25,416.32,14144944.0
2024-10-10,415.225,417.35,413.15,415.84,13848376.0
2024-10-09,415.86,420.38,414.3,417.46,14974257.0
2024-10-08,410.9,415.66,408.17,414.71,19229261.0
2024-10-07,416.0,417.11,409.0,409.54,20919761.0
2024-10-04,418.24,419.75,414.97,416.06,19190913.0
2024-10-03,417.63,419.55,414.29,416.54,13686421.0
2024-10-02,422.58,422.82,416.71,417.13,16582257.0
2024-10-01,428.45,428.48,418.81,420.69,19092945.0
2024-09-30,428.21,430.42,425.37,430.3,16854606.0
2024-09-27,431.52,431.85,427.47,428.02,14896131.0
2024-09-26,435.085,435.3,429.13,431.31,14492044.0
